,cas_rides_in,cas_rides_out,hour,station,sub_rides_in,sub_rides_out,weekday
669,3,0,19,34,6,3,5
670,4,8,18,115,57,66,0
671,160,144,13,53,136,158,5
672,2,8,07,126,11,39,2
673,2,1,02,19,1,3,1
674,141,43,10,74,85,32,6
675,3,2,01,139,3,5,2
676,2,3,08,62,126,34,1
677,7,6,13,30,15,27,2
678,13,12,12,11,53,32,1
679,0,1,14,142,5,3,1
680,21,21,21,68,59,68,6
681,0,0,04,32,0,1,6
682,13,3,21,39,57,24,2
683,2,0,06,112,54,2,0
684,2,3,08,19,17,91,3
685,0,1,09,118,0,5,3
686,31,15,23,49,6,13,0
687,9,10,15,14,20,142,0
688,40,17,16,8,23,19,5
689,100,77,15,75,81,86,6
690,3,3,23,19,19,6,1
691,35,23,09,54,24,19,6
692,3,9,21,27,12,16,4
693,0,0,05,91,2,5,1
694,29,45,17,43,336,493,1
695,4,1,04,78,1,1,5
696,20,28,02,67,31,30,5
697,21,13,19,78,86,29,1
698,29,37,13,75,72,76,1
699,0,1,13,125,2,2,6
700,8,9,16,29,25,18,3
701,0,0,18,109,0,1,2
702,1,1,12,117,0,6,3
703,3,2,07,126,9,27,0
704,27,33,13,21,59,71,4
705,13,27,09,21,177,50,0
706,17,4,07,11,178,15,0
707,7,5,01,52,4,8,3
708,2,2,00,24,0,1,2
709,3,4,01,46,7,2,1
710,0,0,18,125,2,2,1
711,0,0,10,144,1,11,0
712,2,5,00,20,8,17,5
713,13,8,20,31,13,19,0
714,32,49,10,49,45,17,6
715,1,1,22,83,2,2,4
716,27,18,09,43,73,23,5
717,10,1,14,19,33,23,1
718,0,6,07,4,9,6,5
719,7,25,17,11,27,267,2
720,7,2,10,115,32,16,1
721,2,6,21,130,18,41,2
722,6,7,13,137,24,26,3
723,33,37,14,80,142,168,4
724,80,62,16,94,52,34,5
725,36,24,18,72,31,50,6
726,7,4,00,78,8,5,3
727,27,29,20,90,24,18,6
728,1,0,09,145,0,1,6
729,20,13,14,30,22,40,5
730,6,4,21,71,25,7,0
731,29,20,17,57,71,64,6
732,1,0,02,84,0,1,2
733,15,13,12,43,110,98,2
734,2,1,13,105,5,3,6
735,0,0,06,94,1,1,5
736,12,9,22,19,10,10,6
737,8,3,15,127,10,12,1
738,29,22,20,33,121,91,3
739,12,10,09,112,169,90,0
740,4,4,01,81,5,8,3
741,9,11,17,102,86,120,4
742,2,1,18,62,12,10,6
743,16,5,07,128,199,28,3
744,5,6,02,128,9,14,6
745,4,2,19,134,28,11,2
746,4,2,12,100,7,8,5
747,6,6,11,19,21,23,2
748,4,5,22,132,8,7,5
749,0,0,01,117,0,1,4
750,30,22,17,76,211,124,3
751,8,25,09,114,36,325,3
752,0,1,02,138,0,1,0
753,0,0,04,9,0,1,0
754,5,4,23,90,16,13,2
755,0,0,21,120,0,1,5
756,16,25,17,3,62,151,0
757,8,5,14,117,2,1,0
758,4,1,05,22,7,3,6
759,7,4,21,44,27,19,1
760,13,11,18,133,37,33,5
761,6,12,13,132,21,24,6
762,26,15,21,42,24,34,0
763,8,12,23,6,24,23,4
764,0,1,05,127,1,8,4
765,2,1,08,30,10,12,5
766,24,23,13,14,40,28,6
767,2,6,15,62,8,39,1
768,34,24,12,45,59,40,0
769,14,5,16,86,83,35,2
770,14,8,10,91,84,38,2
771,0,0,05,10,2,1,1
772,20,12,08,76,120,233,4
773,0,1,09,143,0,13,1
774,12,11,09,133,31,41,4
775,6,5,20,107,2,2,6
776,23,14,22,91,27,32,5
777,10,8,10,29,14,7,0
778,29,15,17,131,107,83,4
779,22,21,20,114,30,26,5
780,37,25,10,70,64,30,0
781,51,60,16,75,100,137,0
782,18,15,20,4,59,39,3
783,7,8,15,51,14,20,5
784,11,4,20,86,35,43,1
785,2,1,18,134,36,6,0
786,5,20,22,16,29,40,0
787,69,67,16,40,48,49,6
788,14,11,19,12,11,17,6
789,3,2,08,141,2,3,6
790,4,0,00,17,7,4,1
791,14,10,09,20,70,123,2
792,0,3,07,141,5,24,2
793,3,1,16,136,10,41,1
794,0,0,05,136,1,1,4
795,52,57,13,67,210,211,3
796,19,27,19,80,70,211,3
797,6,4,00,128,11,19,3
798,4,3,02,75,7,4,3
799,11,11,13,12,36,21,0
800,89,65,18,46,76,80,5
801,24,19,19,21,98,114,0
802,8,2,01,25,11,8,6
803,10,13,12,11,28,28,5
804,0,1,02,130,2,2,2
805,8,8,08,129,10,8,5
806,0,0,07,121,1,2,1
807,88,64,15,54,63,65,6
808,4,7,10,62,27,17,2
809,27,19,11,45,33,48,1
810,11,9,14,70,41,42,2
811,15,6,20,12,13,11,6
812,2,6,14,27,12,29,3
813,1,0,05,51,0,4,2
814,0,1,05,88,0,5,0
815,1,0,06,34,0,8,4
816,29,21,20,45,61,74,2
817,1,0,00,135,4,4,4
818,23,12,17,63,25,24,6
819,6,7,11,19,24,19,4
820,1,2,15,83,10,9,4
821,18,27,16,137,45,29,5
822,39,42,02,33,24,31,6
823,40,62,13,91,48,63,5
824,0,1,03,72,0,2,2
825,5,1,08,18,10,6,6
826,3,1,12,51,17,18,6
827,27,28,16,21,94,197,1
828,0,0,05,26,2,3,5
829,20,20,19,9,80,84,2
830,15,9,19,59,31,47,3
831,0,0,15,107,2,2,3
832,1,1,19,51,16,12,4
833,2,6,09,137,18,52,3
834,3,1,06,20,14,70,3
835,3,16,08,79,22,137,0
836,1,0,19,122,3,3,0
837,4,1,01,132,0,14,6
838,102,61,14,72,42,60,5
839,12,16,23,33,31,31,0
840,24,31,15,91,65,46,6
841,20,17,21,32,39,42,4
842,14,13,09,68,47,43,6
843,23,22,11,59,42,23,6
844,16,28,00,36,21,32,5
845,11,12,14,45,56,49,2
846,17,14,17,89,48,67,1
847,26,21,18,69,167,62,2
848,1,1,06,71,2,47,4
849,3,21,00,42,10,16,4
850,31,39,16,99,84,134,3
851,4,0,01,71,1,1,0
852,4,6,09,66,7,73,3
853,10,11,19,27,19,20,5
854,1,0,18,124,5,6,0
855,0,2,01,130,2,8,3
856,6,6,13,62,10,6,5
857,4,9,11,86,16,22,3
858,13,18,17,86,23,17,5
